category,cr_name,cr_price_pln,cr_url,bd_name,bd_price_eur,bd_url,match_confidence,matched_at
hamulce,Zacisk hamulca tarczowego SHIMANO XTR BR-M9120,599.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-xtr-br-m9120-pd18865/,XTR BR-M9120 Disc Brake 1000mm front,168.99,https://www.bike-discount.de/en/shimano-xtr-br-m9120-disc-brake-1000mm-front,0.95,2026-03-03 10:56:31.529087
hamulce,Zacisk hamulca tarczowego SRAM DB8 A1,219.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-sram-db8-a1-pd31526/,DB8 Stealth Disc Brake Set,159.99,https://www.bike-discount.de/en/sram-db8-stealth-disc-brake-set,0.95,2026-03-03 10:55:46.064747
kasety,Kaseta SHIMANO Deore XT CS-M770,194.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m770-pd16044/,XT CS-M770 9-speed Cassette,52.99,https://www.bike-discount.de/en/shimano-xt-cs-m770-9-speed-cassette,0.95,2026-03-03 10:57:23.550585
kasety,Kaseta SHIMANO Deore XT CS-M771,204.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m771-pd16045/,XT CS-M771 10-speed Cassette,49.99,https://www.bike-discount.de/en/shimano-xt-cs-m771-10-speed-cassette,0.95,2026-03-03 10:57:37.885536
kasety,Kaseta SHIMANO Deore XT CS-M8100,399.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8100-pd20219/,XT CS-M8100 12-speed Cassette,94.99,https://www.bike-discount.de/en/shimano-xt-cs-m8100-12-speed-cassette,0.95,2026-03-03 10:57:26.108754
kasety,Kaseta SHIMANO Deore XT CS-M8200,497.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8200-pd49344/,XT CS-M8200 12-speed Cassette,117.99,https://www.bike-discount.de/en/shimano-xt-cs-m8200-12-speed-cassette,0.95,2026-03-03 10:57:27.441478
kasety,Kaseta SHIMANO SLX CS-HG81,139.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-hg81-pd16051/,SLX CS-HG81 10-speed Cassette,29.99,https://www.bike-discount.de/en/shimano-slx-cs-hg81-10-speed-cassette,0.95,2026-03-03 10:57:20.989276
kasety,Kaseta SHIMANO SLX CS-M7100,279.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-m7100-pd20153/,SLX CS-M7100 12-speed Cassette,68.99,https://www.bike-discount.de/en/shimano-slx-cs-m7100-12-speed-cassette,0.95,2026-03-03 10:57:24.880553
kasety,Kaseta SHIMANO XTR CS-M9101,1039.0,https://www.centrumrowerowe.pl/kaseta-shimano-xtr-cs-m9101-pd18856/,XTR CS-M9101 12-speed Cassette,224.99,https://www.bike-discount.de/en/shimano-xtr-cs-m9101-12-speed-cassette,0.95,2026-03-03 10:57:30.007004
kasety,Kaseta SHIMANO XTR CS-M9200,1599.0,https://www.centrumrowerowe.pl/kaseta-shimano-xtr-cs-m9200-pd49108/,XTR CS-M9200 12-speed Cassette,319.99,https://www.bike-discount.de/en/shimano-xtr-cs-m9200-12-speed-cassette,0.95,2026-03-03 10:57:33.994075
